Site,Asset Name,MES Ent in ABLE,Type,PLC
String,BHVR1,None,LINE,BHVR1 SLCS PLC
String,BHVR1 Depalletizer,None,SEC,BHVR1 Depalletizer PLC
String,BHVR1 Unscrambler,None,SEC,BHVR1 Unscrambler PLC
String,BHVR1 Rinser,None,SEC,BHVR1 Filler PLC
String,BHVR1 Capper,None,SEC,BHVR1 Filler PLC
String,BHVR1 Filler,None,SEC,BHVR1 Filler PLC
String,BHVR1 Labeler,None,SEC,BHVR1 Labeler PLC
String,BHVR1 Case Erector,None,SEC,BHVR1 Case Erector PLC
String,BHVR1 Case Packer,None,SEC,BHVR1 Case Packer PLC
String,BHVR1 Case Sealer,None,SEC,BHVR1 Case Packer PLC
String,BHVR1 Palletizer,None,SEC,BHVR1 Palletizer PLC
